date,city,PM2.5,PM10,NO2,SO2,CO,O3,temperature,humidity,wind_speed,pressure,AQI
2024-01-04,Mumbai,80.0,134.5,66.04,13.81,1.531,32.87,21.7,66.7,3.1,1006.7,124.1
2024-01-04,Bengaluru,86.95,96.69,48.85,11.08,0.786,30.42,29.5,48.1,6.9,1008.1,129.7
2024-01-04,Kolkata,101.64,178.84,82.65,23.85,1.808,32.96,28.5,42.4,2.0,1002.8,156.4
2024-01-04,Chennai,94.21,184.9,59.49,11.9,1.088,18.42,32.0,79.2,4.3,1009.7,137.9
2024-01-04,Hyderabad,110.7,195.0,72.0,18.98,1.77,16.12,31.3,51.6,8.4,1013.6,169.7
2024-01-04,Ahmedabad,142.37,178.9,71.28,14.69,1.957,37.32,22.0,75.8,4.7,1002.7,216.5
2024-01-04,Pune,80.31,114.27,43.08,12.92,1.56,35.71,23.0,67.1,4.2,1017.6,120.8
2024-01-05,Delhi,262.82,258.45,112.84,19.37,2.862,24.37,20.0,56.7,6.8,1002.9,395.3
2024-01-05,Mumbai,104.71,163.88,66.94,13.65,1.62,16.84,34.7,61.9,6.8,1012.3,158.8
2024-01-05,Bengaluru,66.13,94.97,56.25,11.5,0.995,31.96,31.0,50.0,3.5,1005.0,98.2
2024-01-05,Kolkata,126.34,186.33,63.99,24.27,1.947,34.38,29.1,50.0,5.4,996.0,187.4
2024-01-05,Chennai,76.63,159.29,52.46,14.1,1.236,20.82,26.5,80.1,7.4,999.7,110.8
2024-01-05,Hyderabad,88.82,172.76,50.46,19.06,1.657,29.59,22.0,45.0,1.2,1001.4,133.0
2024-01-05,Ahmedabad,145.18,154.69,57.68,20.69,1.307,33.56,26.9,47.2,6.2,996.1,220.3
2024-01-05,Pune,111.55,122.23,50.43,11.6,1.632,26.37,18.9,47.5,7.8,1006.0,170.3
2024-01-06,Delhi,228.91,434.36,93.04,30.48,2.766,32.7,30.9,60.2,7.6,1008.1,347.3
2024-01-06,Mumbai,119.2,173.33,54.75,13.57,1.559,33.95,27.4,66.3,3.2,997.7,176.7
2024-01-06,Bengaluru,62.14,114.15,52.43,10.02,0.939,28.88,30.7,38.2,4.3,1007.9,92.4
2024-01-06,Kolkata,118.67,228.5,83.52,20.17,1.966,33.42,31.8,54.0,1.0,1003.7,180.5
2024-01-06,Chennai,96.97,193.35,45.67,16.54,1.315,29.23,22.0,46.0,4.5,996.6,143.8
2024-01-06,Hyderabad,97.46,150.81,44.75,15.69,1.118,28.54,18.5,54.7,5.5,996.6,147.6
2024-01-06,Ahmedabad,93.77,203.22,44.39,17.81,1.323,24.98,31.7,54.0,7.0,1014.3,138.2
2024-01-06,Pune,71.92,113.86,54.05,18.72,1.165,29.12,32.1,67.6,7.0,1016.9,104.9
2024-01-07,Delhi,148.14,265.92,68.26,26.44,2.326,23.23,30.6,73.3,2.3,1009.4,224.7
2024-01-07,Mumbai,79.95,209.72,81.85,12.24,1.03,23.79,30.2,82.9,4.2,1011.7,115.7
2024-01-07,Bengaluru,80.23,137.77,38.97,14.89,1.355,27.01,20.2,84.2,7.3,1003.6,119.6
2024-01-07,Kolkata,132.82,240.86,60.8,23.23,2.1,17.8,35.3,66.8,7.6,1011.6,198.6
2024-01-07,Chennai,91.22,194.45,41.38,17.06,1.309,26.64,25.8,71.6,3.1,1014.7,140.1
2024-01-07,Hyderabad,66.18,196.64,47.39,15.66,1.535,23.48,18.5,77.5,2.5,1000.7,102.2
2024-01-07,Ahmedabad,108.5,255.46,68.14,16.62,1.13,39.4,19.5,71.0,4.9,1012.7,164.7
2024-01-07,Pune,104.4,159.12,62.08,10.88,1.066,29.99,23.5,64.1,4.8,1007.7,155.9
2024-01-08,Delhi,238.69,301.89,98.71,20.7,1.906,20.9,21.5,41.0,5.3,1012.8,354.9
2024-01-08,Mumbai,86.3,174.33,72.62,20.58,1.461,23.14,19.8,44.7,2.8,999.9,124.6
2024-01-08,Bengaluru,73.47,110.67,65.77,13.21,1.253,17.53,33.6,59.5,8.0,1008.6,109.9
2024-01-08,Kolkata,138.86,194.55,49.11,24.28,1.736,32.7,25.2,38.7,6.0,997.2,204.8
2024-01-08,Chennai,83.02,134.11,62.22,11.1,1.483,29.3,32.2,46.3,5.2,1005.9,124.0
2024-01-08,Hyderabad,107.02,207.04,49.46,17.16,1.535,30.99,35.1,45.4,2.7,1010.5,157.1
2024-01-08,Ahmedabad,96.51,154.97,42.66,18.63,1.69,24.16,22.2,70.3,6.6,1006.0,146.6
2024-01-08,Pune,120.42,187.63,56.76,15.79,1.613,24.44,27.8,67.4,8.3,1014.2,176.3
2024-01-09,Delhi,166.31,297.21,101.14,25.0,1.956,20.98,30.4,70.0,8.5,1007.0,249.4
2024-01-09,Mumbai,77.82,127.41,61.39,14.29,1.224,18.85,35.3,76.8,5.6,1016.9,121.7
2024-01-09,Bengaluru,79.44,110.3,37.08,14.77,1.1,28.03,34.5,44.1,5.7,1010.0,119.1
2024-01-09,Kolkata,108.68,218.11,60.48,21.16,2.138,22.46,30.5,49.4,8.6,1013.9,163.5
2024-01-09,Chennai,77.83,135.08,42.91,18.46,1.206,27.32,35.8,67.9,5.3,1005.1,113.6
2024-01-09,Hyderabad,80.7,184.62,60.21,18.5,1.184,27.02,34.7,56.9,6.6,998.7,125.8
2024-01-09,Ahmedabad,127.84,175.46,48.34,19.79,1.65,19.56,35.9,80.6,4.7,998.6,195.1
2024-01-09,Pune,95.91,180.79,53.08,12.44,1.537,35.99,22.4,62.6,4.1,1016.3,143.9
2024-01-10,Delhi,255.34,409.39,76.19,28.18,2.126,40.42,27.1,76.0,3.3,1002.6,383.9
2024-01-10,Mumbai,135.13,174.91,50.51,16.37,1.306,29.16,27.8,57.8,3.6,1000.2,204.7
2024-01-10,Bengaluru,75.1,107.54,59.66,9.3,1.284,29.1,32.6,54.3,6.3,1014.1,117.5
2024-01-10,Kolkata,143.6,173.33,67.29,20.24,2.15,33.78,25.9,61.3,4.7,1011.9,214.5
2024-01-10,Chennai,87.43,120.48,47.12,18.45,1.156,31.16,29.7,77.6,7.8,1014.9,129.9
2024-01-10,Hyderabad,78.32,181.0,64.72,19.57,1.039,17.02,29.4,81.0,9.0,1012.4,116.8
2024-01-10,Ahmedabad,91.09,224.69,74.39,18.55,1.786,38.36,18.8,74.8,3.3,1004.2,133.1
2024-01-10,Pune,97.8,166.33,62.07,11.55,0.957,33.71,29.2,47.0,8.3,999.1,146.3
2024-01-11,Delhi,177.3,286.67,62.1,28.39,2.779,34.26,20.8,57.1,3.8,1008.9,267.3
2024-01-11,Mumbai,99.28,149.61,77.26,13.11,1.34,27.62,22.3,63.6,5.6,1017.8,146.9
2024-01-11,Bengaluru,92.65,140.15,44.27,13.31,1.245,29.89,18.9,65.3,5.0,1015.9,136.8
2024-01-11,Kolkata,169.82,255.42,61.25,20.77,1.888,29.7,31.0,68.0,7.7,1009.8,258.8
2024-01-11,Chennai,87.02,134.57,46.3,15.09,1.458,18.15,23.3,72.4,2.4,998.9,130.9
2024-01-11,Hyderabad,112.89,162.96,69.89,19.17,1.23,32.75,26.7,75.3,7.0,1003.5,165.5
2024-01-11,Ahmedabad,153.33,163.17,77.82,23.35,1.815,40.13,35.4,75.2,3.9,1013.4,225.1
2024-01-11,Pune,98.11,155.66,58.28,15.89,1.345,32.71,34.9,40.4,2.9,996.6,151.0
2024-01-12,Delhi,215.66,419.72,73.29,17.71,2.675,39.83,23.4,55.4,2.1,1016.8,321.5
2024-01-12,Mumbai,103.54,133.46,78.87,12.5,1.4,31.82,31.4,82.3,4.4,1012.3,151.9
2024-01-12,Bengaluru,68.32,97.2,50.87,12.09,1.423,15.65,24.7,57.2,8.6,1014.8,98.5
2024-01-12,Kolkata,160.04,246.4,86.47,17.57,1.652,19.55,20.2,77.4,4.6,1010.6,241.5
2024-01-12,Chennai,84.66,108.35,56.26,12.18,0.993,28.39,19.2,73.3,2.7,1000.8,130.7
2024-01-12,Hyderabad,78.95,126.17,69.46,11.23,1.75,18.61,20.3,47.5,2.4,1010.5,113.7
2024-01-12,Ahmedabad,85.07,244.19,51.24,17.17,1.287,18.62,31.4,61.3,7.0,1006.5,130.4
2024-01-12,Pune,96.76,122.47,52.92,18.25,0.929,31.89,33.6,61.1,4.7,1017.2,140.8
2024-01-13,Delhi,205.38,316.17,97.83,23.86,2.791,19.76,19.5,65.4,1.5,1002.1,309.4
2024-01-13,Mumbai,107.02,157.54,82.99,16.29,1.4,30.36,19.8,70.1,7.8,1010.3,163.2
2024-01-13,Bengaluru,81.54,106.11,49.71,10.71,1.012,24.07,25.5,39.8,4.4,1010.6,121.1
2024-01-13,Kolkata,113.99,300.91,49.75,23.02,1.33,17.61,31.3,75.6,5.5,1008.9,171.6
2024-01-13,Chennai,71.82,117.55,43.78,15.83,1.472,34.95,31.0,83.4,5.8,1003.7,108.5
2024-01-13,Hyderabad,72.83,175.05,46.73,12.24,1.738,23.25,31.7,63.7,7.5,1014.6,114.0
2024-01-13,Ahmedabad,142.93,222.17,66.01,13.74,2.012,36.64,22.8,44.0,6.6,1002.8,212.8
2024-01-13,Pune,67.55,195.51,54.9,13.54,1.005,28.77,18.6,72.3,2.7,1005.2,99.7
2024-01-14,Delhi,191.78,380.67,102.62,24.97,1.682,19.26,20.8,65.9,6.4,1002.0,289.3
2024-01-14,Mumbai,103.11,169.88,55.29,18.45,1.106,26.43,23.1,68.9,4.9,1010.7,150.1
2024-01-14,Bengaluru,67.48,135.63,36.08,11.27,0.926,17.74,22.6,51.4,1.1,1012.4,98.0
2024-01-14,Kolkata,133.65,269.33,67.21,23.04,2.083,17.1,33.5,37.1,1.1,1016.3,204.1
2024-01-14,Chennai,83.64,158.69,54.03,13.69,0.984,16.65,23.8,75.1,5.9,1014.3,129.7
2024-01-14,Hyderabad,66.25,193.07,47.38,16.85,1.461,23.83,23.6,52.0,3.7,999.7,99.5
2024-01-14,Ahmedabad,92.21,209.24,75.61,17.46,1.818,36.4,32.7,46.8,2.2,1000.3,139.3
2024-01-14,Pune,110.99,174.93,42.57,16.76,1.275,31.29,31.7,57.4,8.4,1008.4,167.8
2024-01-15,Delhi,223.54,409.43,94.72,18.97,1.66,28.61,23.5,48.7,1.4,1007.2,333.4
2024-01-15,Mumbai,101.0,129.21,76.74,11.94,1.755,35.96,29.1,60.4,4.7,1008.2,154.4
2024-01-15,Bengaluru,89.1,124.14,60.72,13.97,1.0,24.51,20.7,38.1,1.8,1015.8,132.1
2024-01-15,Kolkata,162.52,240.66,54.0,16.29,1.694,24.74,27.4,42.9,4.0,1002.2,242.9
2024-01-15,Chennai,72.24,160.93,56.33,15.67,0.947,18.24,30.2,49.2,6.8,1010.4,112.4
2024-01-15,Hyderabad,107.71,144.0,58.78,12.56,1.31,35.73,30.6,54.6,5.8,1016.6,159.7
2024-01-15,Ahmedabad,111.12,244.4,72.22,21.16,1.916,34.54,30.3,61.3,6.2,1005.3,165.3
2024-01-15,Pune,88.09,129.31,43.75,18.27,1.269,20.31,20.5,38.9,7.8,998.2,134.8
2024-01-16,Delhi,249.82,413.35,63.59,21.65,2.598,21.15,24.8,43.1,7.7,1013.0,377.8
2024-01-16,Mumbai,83.13,169.42,60.58,17.69,1.213,26.75,23.1,72.4,4.6,1007.7,122.8
2024-01-16,Bengaluru,85.33,125.62,61.49,11.79,1.42,34.69,26.3,49.1,4.1,1007.6,132.7
2024-01-16,Kolkata,171.38,283.38,52.62,16.32,1.909,33.78,28.0,40.1,7.8,1014.7,254.9
2024-01-16,Chennai,92.63,131.28,59.67,11.35,1.232,36.64,22.0,57.6,3.8,996.6,134.5
2024-01-16,Hyderabad,88.11,134.63,72.62,14.8,1.032,34.96,33.1,67.5,7.3,999.0,130.0
2024-01-16,Ahmedabad,143.74,232.47,47.62,21.57,1.551,17.52,19.4,47.8,7.7,1008.1,217.9
2024-01-16,Pune,97.6,122.67,46.09,12.68,0.933,24.33,32.3,57.9,1.9,1015.9,147.4
2024-01-17,Delhi,147.65,339.1,74.37,18.87,2.145,32.76,22.3,55.8,6.3,997.9,226.2
2024-01-17,Mumbai,77.02,178.75,64.28,20.69,1.487,25.55,26.5,66.8,8.8,1001.6,110.7
2024-01-17,Bengaluru,84.46,116.08,58.36,13.79,1.302,29.7,24.0,37.2,5.4,1013.9,123.4
2024-01-17,Kolkata,168.12,234.91,75.08,20.72,2.089,16.91,32.0,57.9,3.3,997.0,249.2
2024-01-17,Chennai,58.01,191.52,48.44,18.63,1.313,21.67,31.6,44.6,3.9,1013.2,90.7
2024-01-17,Hyderabad,79.13,123.95,51.57,19.74,1.65,34.21,25.0,83.7,5.0,1006.9,122.9
2024-01-17,Ahmedabad,121.39,245.58,69.08,14.35,1.698,36.48,27.8,51.1,1.6,1010.5,180.1
2024-01-17,Pune,101.91,152.91,58.81,13.12,0.929,33.7,24.3,84.9,3.2,1017.6,157.3
2024-01-18,Delhi,154.97,363.72,80.78,28.34,2.481,40.87,20.6,65.4,7.3,996.8,228.1
2024-01-18,Mumbai,121.38,161.88,59.5,16.65,1.531,32.01,35.1,53.6,7.1,1008.6,182.4
2024-01-18,Bengaluru,67.6,139.49,43.51,9.83,1.278,24.98,25.0,63.1,3.1,1001.7,100.9
2024-01-18,Kolkata,186.89,209.12,83.99,19.1,1.362,33.34,26.1,79.9,4.6,997.9,282.1
2024-01-18,Chennai,96.59,135.55,43.61,10.64,1.312,35.45,33.3,70.6,8.4,1010.0,147.8
2024-01-18,Hyderabad,88.46,123.65,45.95,12.53,1.691,16.15,28.0,53.4,7.4,1008.1,133.8
2024-01-18,Ahmedabad,90.21,184.2,79.03,21.72,1.625,35.24,32.8,38.7,8.8,1010.1,134.8
2024-01-18,Pune,106.37,145.07,64.77,16.82,1.387,19.38,35.4,56.6,8.3,997.2,155.8
2024-01-19,Delhi,164.7,268.39,78.64,27.01,2.033,40.58,34.1,77.3,3.0,1010.0,247.6
2024-01-19,Mumbai,80.61,155.18,65.29,16.02,1.154,37.89,20.8,67.9,6.8,1009.3,124.3
2024-01-19,Bengaluru,74.75,152.98,36.71,9.31,1.215,26.54,29.7,73.3,4.3,1010.1,112.1
2024-01-19,Kolkata,154.99,209.71,85.61,19.0,2.082,29.85,23.4,38.6,1.5,1005.7,232.3
2024-01-19,Chennai,65.79,161.73,42.6,16.29,1.46,34.79,35.6,41.5,4.0,1008.4,96.9
2024-01-19,Hyderabad,86.23,137.68,47.53,12.13,1.259,23.59,29.1,47.4,7.9,999.5,127.6
2024-01-19,Ahmedabad,125.59,184.63,70.4,19.18,1.614,28.97,23.6,36.2,8.6,1007.1,193.1
2024-01-19,Pune,79.59,145.88,38.56,14.36,1.574,29.21,26.5,61.8,7.8,1005.5,123.2
2024-01-20,Delhi,236.39,389.19,80.92,22.57,2.334,22.67,28.0,38.7,5.0,1012.8,352.4
2024-01-20,Mumbai,134.52,195.05,49.36,20.56,1.348,34.61,24.1,81.9,7.0,1000.4,201.9
2024-01-20,Bengaluru,72.0,93.08,40.05,11.52,1.102,24.14,28.9,60.8,3.6,1009.5,104.6
2024-01-20,Kolkata,186.39,274.46,59.11,17.32,2.107,26.67,30.8,50.0,7.5,1004.1,281.3
2024-01-20,Chennai,103.04,159.63,56.55,16.35,1.424,16.78,26.5,83.4,7.3,1013.1,155.3
2024-01-20,Hyderabad,99.69,168.02,44.93,17.24,1.543,33.1,20.7,69.0,1.3,1016.9,145.6
2024-01-20,Ahmedabad,85.36,184.75,48.08,21.39,1.514,35.38,34.6,78.6,6.9,997.4,124.4
2024-01-20,Pune,79.14,143.2,57.94,14.62,1.137,19.2,34.4,52.1,3.8,1013.0,120.9
2024-01-21,Delhi,225.88,374.97,93.81,19.57,1.899,31.39,22.0,83.6,3.4,1002.4,335.9
2024-01-21,Mumbai,116.79,156.68,58.19,20.16,1.695,22.93,20.2,68.8,4.0,1017.6,178.4
2024-01-21,Bengaluru,91.64,151.39,44.76,11.17,1.264,21.93,26.0,47.8,4.8,1000.4,137.8
2024-01-21,Kolkata,181.41,268.25,52.57,20.53,1.852,20.64,30.1,61.6,6.1,997.2,271.3
2024-01-21,Chennai,90.43,115.57,55.8,10.12,1.319,36.27,25.3,81.8,8.0,1006.5,132.6
2024-01-21,Hyderabad,112.49,142.83,60.9,19.92,1.085,27.54,27.6,71.2,8.5,1016.1,165.5
2024-01-21,Ahmedabad,147.52,167.54,76.11,24.93,1.501,28.89,34.9,83.1,8.4,1015.3,216.4
2024-01-21,Pune,99.91,122.3,68.1,12.54,1.656,26.9,26.9,81.9,7.8,1006.3,146.8
2024-01-22,Delhi,159.66,267.96,85.83,20.5,1.818,35.68,32.2,63.4,7.1,999.9,243.0
2024-01-22,Mumbai,128.78,210.53,64.59,12.03,1.586,20.94,20.5,51.2,3.0,1001.7,190.5
2024-01-22,Bengaluru,82.96,162.87,45.12,14.51,0.792,28.07,30.5,38.1,1.9,1002.7,123.5
2024-01-22,Kolkata,144.22,296.9,75.41,17.02,1.356,34.66,23.3,65.7,2.8,998.9,212.9
2024-01-22,Chennai,91.89,161.64,45.58,14.83,1.258,27.81,30.0,45.9,3.0,1012.6,141.6
2024-01-22,Hyderabad,65.92,154.89,62.85,11.95,1.495,16.88,27.9,60.3,5.6,999.3,97.2
2024-01-22,Ahmedabad,121.46,160.11,50.05,20.16,1.207,29.24,32.6,57.7,5.1,1006.0,177.8
2024-01-22,Pune,93.83,189.46,59.87,13.5,1.523,31.11,28.4,37.3,3.8,997.4,145.7
2024-01-23,Delhi,262.24,249.11,110.9,17.26,2.118,36.46,31.8,83.9,6.2,1005.2,398.3
2024-01-23,Mumbai,96.67,215.03,79.62,14.81,1.598,31.62,27.7,67.7,3.8,999.9,145.4
2024-01-23,Bengaluru,73.25,145.5,42.68,8.99,0.799,20.97,30.1,62.2,5.3,1014.1,107.3
2024-01-23,Kolkata,130.71,207.69,84.84,21.79,1.351,32.44,25.5,73.3,8.1,996.3,193.1
2024-01-23,Chennai,60.84,109.46,50.82,16.16,0.933,32.2,25.2,46.7,2.7,1015.0,86.8
2024-01-23,Hyderabad,88.21,139.77,66.61,18.22,1.284,28.04,30.1,51.0,3.4,999.2,133.9
2024-01-23,Ahmedabad,99.92,183.1,44.78,24.37,1.965,38.55,29.3,56.4,5.0,1017.4,154.3
2024-01-23,Pune,105.87,187.44,47.06,13.68,1.011,23.43,31.6,58.7,7.8,1002.6,160.9
2024-01-24,Delhi,246.16,419.61,91.29,30.74,2.317,21.22,22.4,45.2,6.2,1016.3,372.7
2024-01-24,Mumbai,78.57,199.72,52.11,13.78,1.59,30.31,33.7,44.4,7.1,1011.9,118.4
2024-01-24,Bengaluru,71.11,156.38,46.07,16.31,0.794,33.74,35.3,40.9,9.0,1006.5,104.1
2024-01-24,Kolkata,153.02,197.45,83.94,19.8,2.051,23.52,27.6,53.0,3.1,1007.3,229.5
2024-01-24,Chennai,60.73,195.9,47.12,17.34,1.598,24.21,25.5,63.1,2.8,999.2,88.7
2024-01-24,Hyderabad,110.96,167.6,53.23,12.66,1.293,23.5,33.0,60.0,6.2,1011.1,164.0
2024-01-24,Ahmedabad,143.15,266.22,65.97,19.09,1.282,35.84,21.0,71.0,4.9,1016.2,215.2
2024-01-24,Pune,104.17,117.64,38.03,17.4,1.622,29.5,31.8,55.6,7.7,1001.1,158.3
2024-01-25,Delhi,146.74,337.16,81.3,25.7,2.464,32.8,26.7,59.4,1.1,1008.1,215.2
2024-01-25,Mumbai,105.84,152.21,82.34,11.36,1.711,31.9,32.5,80.5,1.9,998.1,155.2
2024-01-25,Bengaluru,58.69,130.03,60.88,11.01,1.051,22.46,25.3,63.3,8.9,1001.0,89.9
2024-01-25,Kolkata,174.06,262.14,81.64,22.19,1.331,23.49,27.9,37.8,1.1,999.8,261.1
2024-01-25,Chennai,76.83,177.94,49.9,17.49,0.969,27.61,18.8,45.6,7.9,1015.5,115.0
2024-01-25,Hyderabad,64.06,119.14,70.3,19.83,1.495,16.28,34.7,50.7,8.7,1008.9,98.6
2024-01-25,Ahmedabad,135.32,195.31,45.37,15.31,1.351,36.76,25.0,79.8,3.7,1012.6,199.4
2024-01-25,Pune,124.14,181.52,52.83,18.5,0.937,24.69,33.1,52.0,7.2,1017.0,185.2
2024-01-26,Delhi,242.14,241.17,76.03,31.09,2.227,26.54,34.9,56.6,6.4,1010.5,359.1
2024-01-26,Mumbai,111.4,207.47,72.18,11.99,1.141,32.74,29.4,72.0,3.5,998.3,162.2
2024-01-26,Bengaluru,63.72,117.24,44.13,9.98,0.91,23.98,28.0,55.4,1.2,1003.8,91.5
2024-01-26,Kolkata,152.47,214.72,62.57,16.8,1.642,17.36,34.2,80.3,8.8,1008.6,225.4
2024-01-26,Chennai,74.28,119.06,42.27,14.34,0.945,25.59,25.6,59.2,1.6,1001.5,108.9
2024-01-26,Hyderabad,94.6,169.01,45.77,12.23,1.271,35.34,24.0,66.0,7.4,1003.2,140.3
2024-01-26,Ahmedabad,142.71,252.87,78.1,15.01,1.428,39.38,21.6,50.7,8.7,1017.3,212.0
2024-01-26,Pune,107.23,159.14,55.2,12.17,1.185,32.58,25.1,40.7,5.5,1009.0,161.3
2024-01-27,Delhi,230.68,346.1,111.92,23.45,2.52,28.52,23.2,69.6,7.6,1013.5,345.1
2024-01-27,Mumbai,103.96,190.08,54.09,17.52,1.626,34.48,19.3,84.5,4.8,1004.8,156.0
2024-01-27,Bengaluru,90.16,142.72,52.54,15.03,1.026,32.91,27.7,66.9,1.7,1012.9,136.8
2024-01-27,Kolkata,131.47,261.17,48.83,24.77,1.947,23.91,31.5,83.3,4.4,996.2,194.8
2024-01-27,Chennai,80.51,153.71,50.32,15.05,1.238,24.65,31.9,64.4,5.0,1003.6,116.0
2024-01-27,Hyderabad,67.12,151.93,71.51,12.31,1.821,18.55,23.6,57.8,2.7,1006.6,100.4
2024-01-27,Ahmedabad,115.55,232.56,54.19,16.9,1.898,20.07,33.3,67.4,6.4,999.6,178.2
2024-01-27,Pune,81.25,128.75,42.03,14.92,1.632,20.42,25.3,44.2,6.1,1005.5,117.2
2024-01-28,Delhi,222.24,274.98,92.87,22.4,2.515,22.94,31.5,75.4,1.5,998.2,337.1
2024-01-28,Mumbai,84.47,157.62,62.37,13.72,1.753,28.62,29.5,64.8,5.9,1008.9,125.2
2024-01-28,Bengaluru,86.93,137.01,60.84,14.38,0.984,27.29,19.5,41.7,1.9,1002.7,127.2
2024-01-28,Kolkata,160.71,241.56,63.9,15.03,1.637,19.46,29.4,69.7,6.2,1018.0,241.6
2024-01-28,Chennai,79.5,119.2,42.66,13.98,0.937,23.96,18.2,41.8,7.5,1017.2,119.3
2024-01-28,Hyderabad,87.73,177.73,53.17,19.26,1.43,17.32,18.6,73.1,3.3,1002.0,132.0
2024-01-28,Ahmedabad,96.11,202.67,69.65,22.26,1.648,20.03,20.1,73.8,7.6,1004.1,147.4
2024-01-28,Pune,69.6,181.02,54.27,18.63,0.975,32.87,31.5,49.9,9.0,1005.9,102.9
2024-01-29,Delhi,247.53,323.72,114.08,27.97,1.886,37.46,28.6,52.5,6.7,1009.9,368.0
2024-01-29,Mumbai,81.49,145.02,52.75,11.77,1.311,23.1,27.7,51.2,6.6,1002.4,119.9
2024-01-29,Bengaluru,87.47,165.29,56.71,9.69,1.431,30.71,34.5,84.6,7.9,998.8,134.9
2024-01-29,Kolkata,122.37,270.44,80.44,22.21,1.946,25.78,28.4,48.4,4.3,1005.9,184.9
2024-01-29,Chennai,98.25,114.89,48.45,12.48,1.615,24.17,35.1,51.4,1.0,1013.0,149.7
2024-01-29,Hyderabad,100.19,156.01,61.52,14.64,1.063,26.72,21.9,56.5,2.7,1001.9,153.6
2024-01-29,Ahmedabad,108.32,217.73,63.21,19.03,1.45,33.24,18.9,40.0,7.3,1006.1,158.7
2024-01-29,Pune,116.6,154.36,36.98,18.36,1.051,29.92,20.4,67.5,2.3,1016.5,172.6
2024-01-30,Delhi,227.29,285.68,81.23,29.81,1.79,27.51,23.5,70.0,2.9,1010.4,343.0
2024-01-30,Mumbai,72.87,173.55,49.9,13.37,1.596,17.01,30.5,75.9,8.9,1005.3,105.6
2024-01-30,Bengaluru,53.46,119.02,58.29,9.75,0.995,32.62,20.5,73.7,7.0,998.9,85.1
2024-01-30,Kolkata,113.14,244.39,47.38,20.93,1.697,30.63,29.3,42.6,4.3,1011.1,173.3
2024-01-30,Chennai,60.16,115.56,55.27,15.17,1.191,37.01,23.7,42.0,3.2,997.9,90.8
2024-01-30,Hyderabad,93.28,170.33,65.37,17.83,1.741,29.29,23.4,60.9,5.1,1012.5,137.9
2024-01-30,Ahmedabad,87.93,257.66,77.39,19.14,1.228,28.99,28.7,61.4,8.8,1017.7,136.2
2024-01-30,Pune,74.8,194.64,54.97,13.24,1.42,31.46,35.2,73.5,1.1,997.5,109.8
